Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
83,2201053,28489554,2201053000,2848955400,2,20,1053000,-2.333333333,28,48,8955400,28.8,,
84,2165011,28528968,2165011000,2852896800,2,16,5011000,-2.266666667,28,52,2896800,28.86666667,,
85,244.4977,2840.3345,2444977000,2840334500,2,44,4977000,-2.733333333,28,40,334500,28.66666667,,
86,216.5904,2853.6123,2165904000,2853612300,2,16,5904000,-2.266666667,28,53,3612300,28.88333333,,
87,245.8079,2840.9029,2458079000,2840902900,2,45,8079000,-2.75,28,40,902900,28.66666667,,
88,246.3389,2480.3454,2463389000,2480345400,2,46,3389000,-2.766666667,24,80,345400,25.33333333,,
89,242.2993,2833.421,2422993000,2833421000,2,42,2993000,-2.7,28,33,3421000,28.55,,
90,250.9218,2847.4208,2509218000,2847420800,2,50,9218000,-2.833333333,28,47,7420800,28.78333333,,
91,250.7201,2847.4377,2507201000,2847437700,2,50,7201000,-2.833333333,28,47,7437700,28.78333333,,
92,251.7381,2847.0359,2517381000,2847035900,2,51,7381000,-2.85,28,47,7035900,28.78333333,,
93,250.3205,2844.7084,2503205000,2844708400,2,50,3205000,-2.833333333,28,44,4708400,28.73333333,,
94,250.0008,2844.8968,2500008000,2844896800,2,50,8000,-2.833333333,28,44,4896800,28.73333333,,
95,250.1755,2845.0042,2501755000,2845004200,2,50,1755000,-2.833333333,28,45,5004200,28.75,,
96,250.8733,2844.6265,2508733000,2844626500,2,50,8733000,-2.833333333,28,44,4626500,28.73333333,,
97,250.6207,2844.807,2506207000,2844807000,2,50,6207000,-2.833333333,28,44,4807000,28.73333333,,
98,216.8823,2848.6569,2168823000,2848656900,2,16,8823000,-2.266666667,28,48,8656900,28.8,,
99,221.2259,2847.387,2212259000,2847387000,2,21,2259000,-2.35,28,47,7387000,28.78333333,,
100,221.3744,2847.5902,2213744000,2847590200,2,21,3744000,-2.35,28,47,7590200,28.78333333,,
101,220.0353,2849.1718,2200353000,2849171800,2,20,353000,-2.333333333,28,49,9171800,28.81666667,,
102,220.1398,2849.1905,2201398000,2849190500,2,20,1398000,-2.333333333,28,49,9190500,28.81666667,,
103,216.3923,2853.1308,2163923000,2853130800,2,16,3923000,-2.266666667,28,53,3130800,28.88333333,,
104,,,0,0,0,0,0,0,0,0,0,0,,
105,02'45.9243',028'40.8082',2459243000,2840808200,2,45,9243000,-2.75,28,40,808200,28.66666667,,
106,02'46.3305',028'40.3092',2463305000,2840309200,2,46,3305000,-2.766666667,28,40,309200,28.66666667,,
107,02'42.1881,028'33.4884,2421881000,2833488400,2,42,1881000,-2.7,28,33,3488400,28.55,,
108,02'51.1152',028'47.3706,2511152000,2847370600,2,51,1152000,-2.85,28,47,7370600,28.78333333,,
109,02'50.8200',028'47.4663,2508200000,2847466300,2,50,8200000,-2.833333333,28,47,7466300,28.78333333,,
110,02'50.9773,028'47.4064,2509773000,2847406400,2,50,9773000,-2.833333333,28,47,7406400,28.78333333,,
111,02'50.2666',028'45.1589',2502666000,2845158900,2,50,2666000,-2.833333333,28,45,5158900,28.75,,
112,02'50.2914',028'44.9911,2502914000,2844991100,2,50,2914000,-2.833333333,28,44,4991100,28.73333333,,
113,02''50.2834'',028''45.1471,2502834000,2845147100,2,50,2834000,-2.833333333,28,45,5147100,28.75,,
114,02'50.2190',028'45.0806',2502190000,2845080600,2,50,2190000,-2.833333333,28,45,5080600,28.75,,
115,02'16.8836,028'48.6532',2168836000,2848653200,2,16,8836000,-2.266666667,28,48,8653200,28.8,,
116,02'16.1166',028'49.5735',2161166000,2849573500,2,16,1166000,-2.266666667,28,49,9573500,28.81666667,,
117,02''21.0380'',028''47.2048'',2210380000,2847204800,2,21,380000,-2.35,28,47,7204800,28.78333333,,
118,02'20.2634',028'48.9346',2202634000,2848934600,2,20,2634000,-2.333333333,28,48,8934600,28.8,,
119,02'20.0401',028'48.9965',2200401000,2848996500,2,20,401000,-2.333333333,28,48,8996500,28.8,,
120,02'44.4493',028'40.3112',2444493000,2840311200,2,44,4493000,-2.733333333,28,40,311200,28.66666667,,
121,2159145,28519660,2159145000,2851966000,2,15,9145000,-2.25,28,51,1966000,28.85,,
122,2445737,28403232,2445737000,2840323200,2,44,5737000,-2.733333333,28,40,323200,28.66666667,,
123,2166752,28528012,2166752000,2852801200,2,16,6752000,-2.266666667,28,52,2801200,28.86666667,,
124,2464143,28402802,2464143000,2840280200,2,46,4143000,-2.766666667,28,40,280200,28.66666667,,
125,2458240,28403682,2458240000,2840368200,2,45,8240000,-2.75,28,40,368200,28.66666667,,
126,2423173,28337037,2423173000,2833703700,2,42,3173000,-2.7,28,33,3703700,28.55,,
127,2508316,28474953,2508316000,2847495300,2,50,8316000,-2.833333333,28,47,7495300,28.78333333,,
128,2506788,28470574,2506788000,2847057400,2,50,6788000,-2.833333333,28,47,7057400,28.78333333,,
129,2507157,28469832,2507157000,2846983200,2,50,7157000,-2.833333333,28,46,6983200,28.76666667,,
130,2501435,28439653,2501435000,2843965300,2,50,1435000,-2.833333333,28,43,3965300,28.71666667,,
131,2501456,28439009,2501456000,2843900900,2,50,1456000,-2.833333333,28,43,3900900,28.71666667,,
132,2503689,28444136,2503689000,2844413600,2,50,3689000,-2.833333333,28,44,4413600,28.73333333,,
133,2504219,28444453,2504219000,2844445300,2,50,4219000,-2.833333333,28,44,4445300,28.73333333,,
134,2507941,28446114,2507941000,2844611400,2,50,7941000,-2.833333333,28,44,4611400,28.73333333,,
135,2506321,28447622,2506321000,2844762200,2,50,6321000,-2.833333333,28,44,4762200,28.73333333,,
136,2149662,28488851,2149662000,2848885100,2,14,9662000,-2.233333333,28,48,8885100,28.8,,
137,2160113,28491897,2160113000,2849189700,2,16,113000,-2.266666667,28,49,9189700,28.81666667,,
138,2214065,28475317,2214065000,2847531700,2,21,4065000,-2.35,28,47,7531700,28.78333333,,
139,2164346,28529261,2164346000,2852926100,2,16,4346000,-2.266666667,28,52,2926100,28.86666667,,
140,02'44.7570',028'40.5241,2447570000,2840524100,2,44,7570000,-2.733333333,28,40,524100,28.66666667,,
141,02'45.8470,028'41.4772',2458470000,2841477200,2,45,8470000,-2.75,28,41,1477200,28.68333333,,
142,02'45.8139',028'40.4257',2458139000,2840425700,2,45,8139000,-2.75,28,40,425700,28.66666667,,
143,02'41.4219',828'34.2512',2414219000,8283425120,2,41,4219000,-2.683333333,82,83,3425120,83.38333333,,
144,02''42.3021'',028''34.5308'',2423021000,2834530800,2,42,3021000,-2.7,28,34,4530800,28.56666667,,
145,02''50.8582'',028''47.4795'',2508582000,2847479500,2,50,8582000,-2.833333333,28,47,7479500,28.78333333,,
146,,,0,0,0,0,0,0,0,0,0,0,,
147,02'50.6784',028'46.9861',2506784000,2846986100,2,50,6784000,-2.833333333,28,46,6986100,28.76666667,,
148,02'50.1652',028'43.9565',2501652000,2843956500,2,50,1652000,-2.833333333,28,43,3956500,28.71666667,,
149,02'50.3004',028'44.5246',2503004000,2844524600,2,50,3004000,-2.833333333,28,44,4524600,28.73333333,,
150,02'50.2690',028'44.2996',2502690000,2844299600,2,50,2690000,-2.833333333,28,44,4299600,28.73333333,,
151,02'50.4424',028'44.4489',2504424000,2844448900,2,50,4424000,-2.833333333,28,44,4448900,28.73333333,,
152,02'50.8366',028'44.5934',2508366000,2844593400,2,50,8366000,-2.833333333,28,44,4593400,28.73333333,,
153,02'15.1064',028'48.8877',2151064000,2848887700,2,15,1064000,-2.25,28,48,8887700,28.8,,
154,02'21.0771',028'47.2092',2210771000,2847209200,2,21,771000,-2.35,28,47,7209200,28.78333333,,
155,02'21.1031',028'47.2357',2211031000,2847235700,2,21,1031000,-2.35,28,47,7235700,28.78333333,,
156,02'19.7594',028'49.4365',2197594000,2849436500,2,19,7594000,-2.316666667,28,49,9436500,28.81666667,,
157,02'19.9655',028'48.7210',2199655000,2848721000,2,19,9655000,-2.316666667,28,48,8721000,28.8,,
158,02'16.16.7378,028'53.5780,2161673780,2853578000,2,16,1673780,-2.266666667,28,53,3578000,28.88333333,,
159,2446589,28404077,2446589000,2840407700,2,44,6589000,-2.733333333,28,40,407700,28.66666667,,
160,2463577,28402897,2463577000,2840289700,2,46,3577000,-2.766666667,28,40,289700,28.66666667,,
161,2464351,28402780,2464351000,2840278000,2,46,4351000,-2.766666667,28,40,278000,28.66666667,,
162,2419984,28341619,2419984000,2834161900,2,41,9984000,-2.683333333,28,34,4161900,28.56666667,,
